
Sudoku: 0
Case: 72, val: 1, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 73, val: 6, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 74, val: 4, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 75, val: 5, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 76, val: 3, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 77, val: 9, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 78, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 79, val: 8, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 80, val: 7, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 

Sudoku: 1
Case: 0, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 1, val: 3, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 2, val: 1, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 3, val: 0, n_candidats: 1, candidats: 4 0 0 0 0 0 0 0 0 
Case: 4, val: 9, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 5, val: 0, n_candidats: 2, candidats: 4 5 0 0 0 0 0 0 0 
Case: 6, val: 0, n_candidats: 4, candidats: 5 6 7 8 0 0 0 0 0 
Case: 7, val: 0, n_candidats: 3, candidats: 6 7 8 0 0 0 0 0 0 
Case: 8, val: 0, n_candidats: 2, candidats: 6 8 0 0 0 0 0 0 0 
Case: 9, val: 0, n_candidats: 2, candidats: 5 7 0 0 0 0 0 0 0 
Case: 10, val: 4, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 11, val: 0, n_candidats: 2, candidats: 5 9 0 0 0 0 0 0 0 
Case: 12, val: 6, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 13, val: 8, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 14, val: 1, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 15, val: 0, n_candidats: 2, candidats: 5 7 0 0 0 0 0 0 0 
Case: 16, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 17, val: 3, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 18, val: 0, n_candidats: 2, candidats: 5 8 0 0 0 0 0 0 0 
Case: 19, val: 0, n_candidats: 1, candidats: 6 0 0 0 0 0 0 0 0 
Case: 20, val: 0, n_candidats: 3, candidats: 5 6 8 0 0 0 0 0 0 
Case: 21, val: 7, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 22, val: 3, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 23, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 24, val: 1, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 25, val: 4, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 26, val: 9, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 27, val: 1, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 28, val: 0, n_candidats: 1, candidats: 9 0 0 0 0 0 0 0 0 
Case: 29, val: 4, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 30, val: 5, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 31, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 32, val: 0, n_candidats: 2, candidats: 7 8 0 0 0 0 0 0 0 
Case: 33, val: 0, n_candidats: 4, candidats: 6 7 8 9 0 0 0 0 0 
Case: 34, val: 0, n_candidats: 5, candidats: 3 6 7 8 9 0 0 0 0 
Case: 35, val: 0, n_candidats: 2, candidats: 6 8 0 0 0 0 0 0 0 
Case: 36, val: 6, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 37, val: 8, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 38, val: 7, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 39, val: 9, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 40, val: 1, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 41, val: 3, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 42, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 43, val: 5, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 44, val: 4, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 45, val: 0, n_candidats: 2, candidats: 3 5 0 0 0 0 0 0 0 
Case: 46, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 47, val: 0, n_candidats: 3, candidats: 3 5 9 0 0 0 0 0 0 
Case: 48, val: 0, n_candidats: 1, candidats: 8 0 0 0 0 0 0 0 0 
Case: 49, val: 4, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
